"ï..DIRECTORIO","SECUENCIA_P","SECUENCIA_ENCUESTA","P6051","P6020","P6040","P5502","P6080","P8587","I_HOGAR","CANT_PERSONAS_HOGAR","REGION","P8520S1A1"
7121853,1,1,1,1,43,2,6,3,0,2,3,2
7121854,1,1,1,1,53,6,6,3,1580000,6,3,3
7121855,1,1,1,2,24,2,6,3,1260000,4,3,9
7121856,1,1,1,1,45,2,6,3,758333.333333333,6,3,1
7121857,1,1,1,1,38,6,6,4,3686250,3,3,1
7121859,1,1,1,1,71,6,6,3,616666.666666667,2,3,2
7121860,1,1,1,1,62,6,6,1,2346666.66666667,3,3,2
7121862,1,1,1,1,59,6,6,3,783333.333333333,5,3,1
7121863,1,1,1,1,30,5,6,4,1179000,1,3,1
7121864,1,1,1,1,49,2,6,3,1795000,4,3,1
7121866,1,1,1,1,32,2,6,4,2900000,2,3,1
7121867,1,1,1,1,28,2,6,5,1217500,5,3,1
7121868,1,1,1,2,44,6,6,3,1018333.33333333,4,3,1
7121869,1,1,1,1,49,6,6,5,1292333.33333333,3,3,1
7121870,1,1,1,2,54,4,6,3,890000,3,3,1
7121871,1,1,1,1,46,6,6,3,1687000,6,3,2
7121874,1,1,1,1,73,4,6,13,4600000,2,3,2
7121875,1,1,1,1,14,5,6,NA,164500,1,3,1
7121876,1,1,1,1,45,5,6,13,5265000,1,3,2
7121877,1,1,1,2,34,2,6,4,60000,4,3,1
7121878,1,1,1,2,22,4,6,4,623333.333333333,3,3,1
7121879,1,1,1,1,35,5,6,4,4e+05,1,3,1
7121880,1,1,1,2,22,2,6,3,1057500,6,3,1
7121881,1,1,1,2,87,3,6,1,520000,1,3,1
7121883,1,1,1,2,59,3,6,1,283333.333333333,1,3,0
7121884,1,1,1,1,62,6,1,3,120000,2,3,1
7121888,1,1,1,1,31,2,6,5,833333.333333333,3,3,1
7121889,1,1,1,2,32,4,6,3,845166.666666667,5,3,1
7121890,1,1,1,1,20,2,6,4,790500,4,3,1
7121892,1,1,1,1,45,6,6,3,1973833.33333333,5,3,1
7121893,1,1,1,2,47,4,6,5,853000,3,3,1
7121894,1,1,1,2,35,2,6,4,1647333.33333333,4,3,2
7121895,1,1,1,1,70,6,6,3,744500,3,3,1
