"P6020","P6040","P5502","P6080","P1895","P8587","I_HOGAR","CANT_PERSONAS_HOGAR","REGION","P8520S1A1"
2,59,3,6,10,1,283333.333333333,1,3,0
1,62,6,1,9,3,120000,2,3,1
1,31,2,6,8,5,833333.333333333,3,3,1
2,32,4,6,5,3,845166.666666667,5,3,1
1,20,2,6,8,4,790500,4,3,1
1,45,6,6,10,3,1973833.33333333,5,3,1
2,47,4,6,6,5,853000,3,3,1
2,35,2,6,10,4,1647333.33333333,4,3,2
1,70,6,6,10,3,744500,3,3,1
1,26,5,6,8,NA,1764166.66666667,1,3,1
1,28,4,6,7,4,430000,1,3,1
2,41,2,6,8,3,730000,4,3,1
1,23,6,6,8,5,8e+05,3,3,1
2,49,4,6,10,3,562500,3,3,1
2,33,4,6,4,3,1402500,6,3,1
1,53,4,6,6,3,6e+05,1,3,1
1,49,5,6,7,3,635000,4,3,1
2,26,2,6,10,3,718333.333333333,4,3,1
1,54,2,6,8,5,1750000,3,3,2
2,40,4,6,7,3,190000,3,3,2
1,75,6,6,10,3,2630000,5,3,2
1,61,6,6,8,5,266666.666666667,2,3,2
1,83,6,6,7,3,715000,3,3,2
2,35,2,6,10,5,1595000,3,3,2
1,65,6,6,2,3,370833.333333333,3,3,1
1,38,5,6,9,4,1020000,1,3,1
2,53,3,6,9,3,5e+05,1,3,1
2,48,4,6,8,3,350000,1,3,1
2,85,3,6,5,4,1016911,1,3,2
2,58,4,6,9,13,4600000,2,3,2
2,29,6,6,10,7,1050000,4,3,3
2,38,2,6,10,11,2200000,4,3,2
2,48,4,6,6,5,625000,5,3,1
1,29,2,6,9,5,590000,4,3,1
2,63,3,6,5,3,1300000,3,3,2
1,27,6,6,8,5,1805000,3,3,2
2,80,3,6,6,3,1341666.66666667,2,3,2
1,49,6,6,9,5,1016833.33333333,6,3,2
2,73,4,6,10,3,695000,1,3,3
1,38,5,6,10,5,1600000,1,3,1
1,59,6,6,0,3,5400000,2,3,2
1,28,2,6,9,3,950000,1,3,2
2,36,3,6,10,7,1337666.66666667,3,3,1
2,41,6,6,7,6,1712666.66666667,5,3,2
2,53,5,6,10,3,550000,2,3,2
1,56,6,6,7,3,2266666.66666667,4,3,2
1,62,2,6,7,4,828116,2,3,2
2,40,4,6,9,5,1389782,3,3,2
2,55,3,6,5,3,9e+05,2,3,2
2,33,5,6,7,5,548000,2,3,2
2,50,5,6,8,4,548000,2,3,2
2,76,3,6,8,3,1048333.33333333,4,3,2
1,40,5,6,7,13,4036333.33333333,1,3,2
1,89,6,6,9,5,4215190.16666667,2,3,3
2,67,5,6,4,3,75000,3,3,3
1,73,6,6,10,3,1136666.66666667,2,3,3
2,61,4,6,7,5,4100000,3,3,3
1,66,2,5,10,11,5428116,4,3,3
2,49,5,6,6,5,550000,2,3,3
1,47,6,6,9,11,5361449.33333333,4,3,3
1,72,6,6,8,3,8e+05,2,3,3
2,31,4,6,9,13,2780833.33333333,2,3,2
1,52,6,6,6,13,6540000,2,3,3
2,85,4,6,8,3,525000,2,3,2
1,43,2,6,10,11,2300000,3,3,3
1,33,5,6,8,11,5e+06,1,3,3
1,48,6,6,8,13,4075000,5,2,3
1,32,1,6,6,11,1120000,2,2,3
2,38,1,6,6,3,0,4,2,3
2,66,6,6,7,3,1408333.33333333,2,2,3
2,58,5,6,6,3,2500000,2,2,3
2,96,3,6,9,3,8293750,4,2,3
2,41,5,6,9,13,1550000,1,2,3
2,18,5,6,8,NA,1550000,1,2,3
2,37,5,6,6,5,7e+05,2,2,3
2,36,5,6,8,7,2801407,3,2,3
2,60,3,6,5,3,139166.666666667,1,2,2
2,82,3,6,2,3,453333.333333333,1,2,2
1,62,4,6,8,3,1400000,1,2,2
2,54,5,6,10,5,6e+05,1,2,2
1,69,2,6,10,4,1100000,2,2,2
1,61,2,6,10,4,8e+05,2,2,2
1,56,2,6,10,4,9400000,2,2,2
1,60,2,6,8,7,1744287.5,4,2,2
1,47,6,6,5,9,4819500,4,2,2
1,63,4,6,10,4,250000,1,2,2
1,76,1,6,9,4,1400000,2,2,2
1,29,2,6,10,4,1310000,3,2,2
2,68,6,6,8,3,111666.666666667,2,2,2
1,43,6,6,9,7,1488116,5,2,2
