"P6020","P6040","P5502","P6080","P1895","P8587","I_HOGAR","I_UGASTO","REGION","P8520S1","P8520S1A1","HIJOS"
2,53,5,6,6,3,2400000,2400000,3,1,2,1
1,39,6,6,10,5,2137666.66666667,2137666.66666667,3,1,2,3
1,32,2,6,8,3,657833.333333333,657833.333333333,3,1,1,1
1,20,2,6,10,3,1035000,1035000,3,1,1,1
1,29,2,6,8,3,1035000,1035000,3,1,1,0
1,39,1,6,9,4,1500000,1500000,3,1,1,0
1,34,6,6,7,7,1679166.66666667,1679166.66666667,3,1,1,2
2,46,1,6,5,5,480000,480000,3,1,1,1
2,57,5,6,10,3,808333.333333333,808333.333333333,3,1,1,1
2,48,4,6,6,3,6e+05,6e+05,3,1,1,0
2,36,4,6,10,3,718333.333333333,718333.333333333,3,1,1,4
1,50,5,6,7,3,6e+05,6e+05,3,1,1,0
1,26,6,6,9,5,2655000,2655000,3,1,2,1
1,59,4,6,8,1,1100000,1100000,3,1,3,0
1,28,1,6,10,7,1911666.66666667,1911666.66666667,3,1,3,2
1,59,2,6,9,5,1875000,1875000,3,1,3,0
2,35,4,6,8,11,2426666.66666667,2426666.66666667,3,1,3,2
1,27,5,6,7,11,2e+06,2e+06,3,1,2,0
2,34,5,6,8,3,305000,305000,3,1,1,3
1,61,5,6,8,3,80000,80000,3,1,1,0
1,50,2,6,6,3,1200000,1200000,3,1,1,2
1,47,2,6,7,3,609500,609500,3,1,1,2
2,26,5,6,10,5,961500,961500,3,1,1,1
1,25,2,6,8,4,8e+05,8e+05,3,1,1,0
2,26,5,6,7,5,8275000,8275000,3,1,1,1
2,49,5,6,8,4,1e+06,1e+06,3,1,2,0
1,44,2,6,8,3,1090000,1090000,3,1,3,1
1,53,5,6,6,3,1320000,1320000,3,1,3,0
2,41,4,6,10,3,2e+05,2e+05,3,1,3,1
2,41,2,6,5,NA,873200,873200,3,1,3,1
2,76,5,6,10,3,565000,565000,3,1,3,0
2,93,3,6,5,1,2275000,2275000,3,1,3,1
1,40,2,6,10,3,715000,715000,3,1,1,2
1,69,3,6,8,3,375000,375000,3,1,3,0
2,55,4,6,2,3,387500,387500,3,1,1,0
1,61,6,6,5,4,333333.333333333,333333.333333333,3,1,1,0
2,34,4,6,6,5,416666.666666667,416666.666666667,3,1,1,2
1,26,2,6,10,7,912500,912500,3,1,1,2
1,54,2,6,7,5,2900000,2900000,3,1,1,2
1,48,6,6,9,4,1600000,1600000,3,1,1,1
2,35,4,6,3,NA,558333.333333333,558333.333333333,3,1,1,3
2,79,3,6,7,3,315000,315000,3,1,1,0
1,43,2,6,0,3,0,0,3,1,2,0
1,53,6,6,9,3,1580000,1580000,3,1,3,1
2,24,2,6,10,3,1260000,1260000,3,1,9,2
1,45,2,6,5,3,758333.333333333,758333.333333333,3,1,1,4
1,38,6,6,10,4,3686250,3686250,3,1,1,1
1,71,6,6,8,3,616666.666666667,616666.666666667,3,1,2,0
1,62,6,6,10,1,2346666.66666667,2346666.66666667,3,1,2,0
1,59,6,6,9,3,783333.333333333,783333.333333333,3,1,1,3
1,30,5,6,10,4,1179000,1179000,3,1,1,0
1,49,2,6,10,3,1795000,1795000,3,1,1,3
1,32,2,6,10,4,2900000,2900000,3,1,1,0
1,28,2,6,10,5,1217500,1217500,3,1,1,3
2,44,6,6,8,3,1018333.33333333,1018333.33333333,3,1,1,2
1,49,6,6,10,5,1292333.33333333,1292333.33333333,3,1,1,1
2,54,4,6,8,3,890000,890000,3,1,1,2
1,46,6,6,7,3,1687000,1687000,3,1,2,4
1,73,4,6,7,13,4600000,4600000,3,1,2,1
1,14,5,6,NA,NA,164500,164500,3,1,1,0
1,45,5,6,9,13,5265000,5265000,3,1,2,0
2,34,2,6,10,4,60000,60000,3,1,1,3
2,22,4,6,10,4,623333.333333333,623333.333333333,3,1,1,2
1,35,5,6,9,4,4e+05,4e+05,3,1,1,0
2,22,2,6,9,3,1057500,1057500,3,1,1,1
2,87,3,6,9,1,520000,520000,3,1,1,0
2,59,3,6,10,1,283333.333333333,283333.333333333,3,1,0,0
1,62,6,1,9,3,120000,120000,3,1,1,0
1,31,2,6,8,5,833333.333333333,833333.333333333,3,1,1,1
2,32,4,6,5,3,845166.666666667,845166.666666667,3,1,1,4
1,20,2,6,8,4,790500,790500,3,1,1,2
